Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,52.450001,52.990002,51.020000,51.520000,51.520000,304000
2014-01-03,51.700001,52.720001,51.700001,52.020000,52.020000,200800
2014-01-06,51.860001,52.650002,50.730000,51.540001,51.540001,242400
2014-01-07,51.770000,53.849998,51.500000,53.270000,53.270000,246600
2014-01-08,53.180000,55.500000,52.430000,55.450001,55.450001,347600
2014-01-09,55.810001,57.980000,55.480000,57.930000,57.930000,259900
2014-01-10,58.009998,59.480000,56.580002,59.310001,59.310001,224400
2014-01-13,59.299999,61.919998,58.660000,59.380001,59.380001,332900
2014-01-14,59.560001,62.040001,59.560001,61.810001,61.810001,220200
2014-01-15,61.880001,63.290001,61.869999,62.980000,62.980000,297700
2014-01-16,63.139999,64.449997,62.369999,64.209999,64.209999,207700
2014-01-17,64.330002,65.639999,63.660000,64.260002,64.260002,270200
2014-01-21,64.510002,65.660004,62.049999,65.470001,65.470001,295300
2014-01-22,65.500000,65.500000,63.450001,65.470001,65.470001,166500
2014-01-23,65.239998,65.820000,63.709999,65.779999,65.779999,247000
2014-01-24,65.120003,65.120003,59.230000,60.259998,60.259998,456000
2014-01-27,60.790001,60.790001,56.840000,58.759998,58.759998,421100
2014-01-28,59.180000,62.000000,58.790001,61.439999,61.439999,258700
2014-01-29,60.930000,63.189999,60.520000,61.680000,61.680000,173300
2014-01-30,62.419998,63.860001,62.230000,62.919998,62.919998,160100
2014-01-31,61.150002,62.490002,60.299999,61.939999,61.939999,139800
2014-02-03,61.810001,61.990002,57.209999,58.970001,58.970001,330900
2014-02-04,59.340000,60.160000,58.669998,59.330002,59.330002,209700
2014-02-05,58.700001,58.939999,54.610001,57.150002,57.150002,425300
2014-02-06,57.419998,58.389999,56.139999,56.820000,56.820000,191500
2014-02-07,56.849998,60.840000,56.849998,60.099998,60.099998,265000
2014-02-10,61.259998,62.919998,59.500000,62.700001,62.700001,371500
2014-02-11,62.959999,71.919998,62.959999,71.370003,71.370003,1261200
2014-02-12,71.110001,76.769997,70.000000,74.419998,74.419998,1259500
2014-02-13,73.230003,79.690002,73.000000,79.150002,79.150002,672800
2014-02-14,79.279999,80.419998,76.099998,76.919998,76.919998,552100
2014-02-18,77.470001,78.400002,72.800003,73.940002,73.940002,774000
2014-02-19,73.949997,75.760002,72.129997,72.529999,72.529999,372500
2014-02-20,72.949997,73.459999,72.279999,73.080002,73.080002,513700
2014-02-21,73.269997,75.400002,72.379997,74.430000,74.430000,401100
2014-02-24,75.000000,76.959999,74.379997,74.459999,74.459999,292200
2014-02-25,74.839996,77.440002,73.639999,73.720001,73.720001,568600
2014-02-26,73.650002,74.550003,71.779999,72.360001,72.360001,240900
2014-02-27,72.230003,73.010002,71.010002,71.449997,71.449997,295600
2014-02-28,71.500000,74.379997,69.040001,69.750000,69.750000,473100
2014-03-03,68.910004,69.570000,67.000000,69.099998,69.099998,251900
2014-03-04,70.220001,73.860001,70.220001,73.540001,73.540001,515200
2014-03-05,73.989998,76.449997,73.550003,73.930000,73.930000,421400
2014-03-06,74.180000,74.309998,69.160004,69.250000,69.250000,322200
2014-03-07,69.930000,70.309998,66.660004,69.779999,69.779999,271500
2014-03-10,69.480003,71.220001,68.430000,70.199997,70.199997,272400
2014-03-11,70.330002,73.059998,69.500000,70.570000,70.570000,437600
2014-03-12,69.949997,73.370003,69.019997,73.199997,73.199997,228900
2014-03-13,73.769997,76.110001,71.419998,72.459999,72.459999,391700
2014-03-14,72.300003,75.760002,71.080002,75.389999,75.389999,442700
2014-03-17,75.669998,79.279999,75.660004,76.949997,76.949997,390200
2014-03-18,77.339996,79.930000,77.199997,79.580002,79.580002,260400
2014-03-19,79.750000,80.209999,76.750000,77.669998,77.669998,272800
2014-03-20,77.839996,79.290001,76.580002,77.010002,77.010002,157500
2014-03-21,77.300003,78.029999,71.900002,72.120003,72.120003,826700
2014-03-24,72.180000,72.820000,66.680000,70.070000,70.070000,573800
2014-03-25,70.680000,72.349998,68.290001,68.480003,68.480003,316100
2014-03-26,69.330002,70.930000,67.739998,67.750000,67.750000,213400
2014-03-27,67.769997,70.000000,66.129997,68.209999,68.209999,218900
2014-03-28,68.379997,69.160004,62.639999,63.279999,63.279999,495100
2014-03-31,63.619999,67.959999,63.070000,67.269997,67.269997,446000
2014-04-01,67.269997,69.389999,66.930000,68.480003,68.480003,231400
2014-04-02,69.000000,69.309998,64.510002,66.010002,66.010002,267400
2014-04-03,66.010002,66.050003,62.799999,63.520000,63.520000,234700
2014-04-04,64.019997,66.430000,60.439999,63.029999,63.029999,413400
2014-04-07,63.000000,65.959999,61.900002,64.660004,64.660004,363000
2014-04-08,64.919998,66.769997,64.000000,66.199997,66.199997,226100
2014-04-09,66.500000,70.190002,66.379997,69.970001,69.970001,253000
2014-04-10,69.669998,70.459999,63.250000,63.930000,63.930000,462700
2014-04-11,63.369999,66.540001,61.020000,61.230000,61.230000,367200
2014-04-14,61.950001,64.309998,58.470001,60.169998,60.169998,371100
2014-04-15,60.330002,62.389999,55.900002,59.740002,59.740002,357800
2014-04-16,60.619999,63.060001,58.700001,62.900002,62.900002,384800
2014-04-17,62.509998,66.209999,61.279999,64.129997,64.129997,364100
2014-04-21,64.400002,66.500000,62.490002,65.790001,65.790001,243200
2014-04-22,66.230003,70.470001,66.230003,70.190002,70.190002,391600
2014-04-23,69.690002,70.199997,65.260002,69.180000,69.180000,390400
2014-04-24,69.660004,69.839996,65.470001,68.720001,68.720001,286400
2014-04-25,67.860001,68.580002,64.610001,65.110001,65.110001,200300
2014-04-28,65.610001,66.709999,59.610001,63.389999,63.389999,487700
2014-04-29,63.939999,67.080002,63.000000,65.820000,65.820000,193500
2014-04-30,65.629997,67.220001,62.680000,63.169998,63.169998,403300
2014-05-01,63.150002,64.830002,61.810001,63.459999,63.459999,436400
2014-05-02,63.459999,63.459999,61.580002,62.270000,62.270000,243200
2014-05-05,61.490002,65.400002,61.169998,65.099998,65.099998,178900
2014-05-06,64.959999,65.550003,63.660000,64.050003,64.050003,291600
2014-05-07,62.500000,65.449997,60.389999,65.370003,65.370003,434800
2014-05-08,64.959999,67.959999,61.849998,62.169998,62.169998,273200
2014-05-09,62.049999,63.169998,60.480000,62.830002,62.830002,166200
2014-05-12,61.509998,66.720001,61.509998,65.000000,65.000000,209100
2014-05-13,65.050003,66.309998,63.549999,64.040001,64.040001,156700
2014-05-14,64.000000,64.989998,62.049999,63.270000,63.270000,155600
2014-05-15,62.669998,64.669998,60.520000,63.869999,63.869999,208500
2014-05-16,64.059998,64.980003,62.180000,64.769997,64.769997,166200
2014-05-19,64.300003,66.570000,63.599998,65.010002,65.010002,183200
2014-05-20,64.669998,64.669998,62.009998,62.770000,62.770000,161600
2014-05-21,63.090000,63.990002,62.070000,63.189999,63.189999,97300
2014-05-22,63.259998,65.989998,62.759998,65.089996,65.089996,155000
2014-05-23,65.150002,66.480003,64.550003,66.150002,66.150002,109300
2014-05-27,66.730003,67.500000,66.080002,67.099998,67.099998,211400
2014-05-28,66.959999,67.470001,65.620003,66.860001,66.860001,157500
2014-05-29,67.349998,67.400002,66.639999,67.029999,67.029999,163300
2014-05-30,67.529999,67.949997,65.440002,66.709999,66.709999,274500
2014-06-02,66.629997,68.940002,65.260002,68.620003,68.620003,307400
2014-06-03,68.470001,68.930000,66.349998,66.480003,66.480003,262200
2014-06-04,66.080002,67.629997,65.360001,67.529999,67.529999,115400
2014-06-05,68.169998,69.099998,67.059998,68.910004,68.910004,158100
2014-06-06,69.099998,69.099998,67.529999,67.940002,67.940002,152800
2014-06-09,68.110001,71.440002,67.410004,68.639999,68.639999,263900
2014-06-10,68.550003,69.650002,68.379997,69.220001,69.220001,143400
2014-06-11,68.540001,69.209999,66.699997,67.339996,67.339996,142500
2014-06-12,66.879997,67.000000,65.889999,66.610001,66.610001,138200
2014-06-13,66.010002,67.529999,65.510002,66.750000,66.750000,150800
2014-06-16,67.260002,69.839996,63.270000,64.889999,64.889999,604400
2014-06-17,64.260002,65.639999,62.580002,63.759998,63.759998,345200
2014-06-18,63.549999,65.779999,63.549999,65.629997,65.629997,220400
2014-06-19,66.040001,66.269997,64.360001,65.699997,65.699997,170500
2014-06-20,66.190002,66.800003,64.900002,66.269997,66.269997,461700
2014-06-23,66.269997,66.379997,62.000000,62.349998,62.349998,400600
2014-06-24,62.880001,63.419998,58.180000,60.669998,60.669998,856000
2014-06-25,61.119999,63.419998,60.400002,62.910000,62.910000,280300
2014-06-26,62.709999,62.990002,61.610001,62.189999,62.189999,149700
2014-06-27,61.730000,62.450001,60.549999,61.779999,61.779999,552700
2014-06-30,61.509998,62.970001,60.389999,62.290001,62.290001,394700
2014-07-01,62.590000,64.449997,61.889999,63.520000,63.520000,304800
2014-07-02,63.590000,65.260002,63.410000,63.810001,63.810001,180300
2014-07-03,64.180000,65.660004,63.419998,64.519997,64.519997,196600
2014-07-07,61.930000,64.120003,61.000000,64.019997,64.019997,685900
2014-07-08,63.650002,63.790001,60.730000,61.500000,61.500000,408800
2014-07-09,61.540001,63.590000,60.630001,62.650002,62.650002,212100
2014-07-10,61.090000,63.849998,60.200001,63.259998,63.259998,203500
2014-07-11,63.360001,64.209999,62.910000,63.700001,63.700001,172400
2014-07-14,64.209999,64.209999,59.209999,59.560001,59.560001,378000
2014-07-15,59.500000,60.360001,56.750000,56.849998,56.849998,456800
2014-07-16,57.119999,57.369999,52.630001,53.040001,53.040001,884100
2014-07-17,53.000000,54.500000,50.410000,50.660000,50.660000,467600
2014-07-18,50.549999,51.930000,50.070000,51.320000,51.320000,499900
2014-07-21,51.320000,51.980000,50.270000,51.450001,51.450001,354800
2014-07-22,51.919998,51.919998,48.669998,49.139999,49.139999,863600
2014-07-23,49.310001,52.070000,49.310001,51.650002,51.650002,622500
2014-07-24,52.000000,52.070000,50.570000,51.080002,51.080002,242400
2014-07-25,50.650002,51.160000,49.520000,50.060001,50.060001,183500
2014-07-28,50.000000,50.070000,47.480000,48.080002,48.080002,412400
